Field,Sorting Issue,Value Mismatch,Precision Delta,Source NULL,Target NULL,Total Issues
"PARAMETER_MAPPING_ID","3122","0","0","0","0","3122"
"PARAMETER_W_UNITS_FIELD_NAME","3116","0","0","0","0","3116"
"PARAMETER_UNITS","3116","0","0","0","0","3116"
"NUMERIC_PARAMETER_VALUE","2680","0","211","0","0","2891"
"UNIT_OPERATION","2817","0","0","0","0","2817"
"FINAL_DISPOSITION_DATE","1634","452","0","114","515","2715"
"LAST_DATA_EXTRACTION_DATE","2189","320","0","0","160","2669"
"SORTING_DATE","1543","44","0","0","21","1608"
"FINAL_DISPOSITION","819","12","0","194","328","1353"
"DATE_OF_MANUFACTURE","841","302","0","0","151","1294"
"LAST_MODIFICATION_DATE","413","260","0","0","195","868"
"SOURCE_SYSTEM","6","0","0","0","0","6"
